participant_id,session_idx,rsp_fs,channel,RSP_Rate_Mean,RSP_Rate_SD,RSP_Amp_Mean,RSP_Amp_SD,RSP_RVT_Mean,RSP_RVT_SD,RSP_Slope_Inhale_Ratio,RSP_Slope_Exhale_Ratio,RSP_Slope_Hold_Ratio,RSP_Slope_Dominant,RSP_Inhale_Ratio,RSP_Exhale_Ratio,RRV_MeanBB,RRV_SDBB,RRV_RMSSD,RRV_SDSD,RRV_LF,RRV_HF,RRV_LFHF,RRV_LFn,RRV_HFn,RRV_SD1,RRV_SD2,RRV_SD2SD1,RRV_DFA_alpha1,RRV_DFA_alpha2,RRV_ApEn,RRV_SampEn,RRV_CVBB,RRV_CVSD,RRV_MedianBB,RRV_MadBB,RRV_MCVBB,RRV_VLF,NK_RAV_Mean,NK_RAV_SD,NK_RAV_RMSSD,NK_RAV_CVSD,NK_RSP_Phase_Duration_Inspiration,NK_RSP_Phase_Duration_Expiration,NK_RSP_Phase_Duration_Ratio,pct_missing,pct_low_sqi,n_outliers,RRV_MFDFA_alpha2_Width,RRV_MFDFA_alpha2_Peak,RRV_MFDFA_alpha2_Mean,RRV_MFDFA_alpha2_Max,RRV_MFDFA_alpha2_Delta,RRV_MFDFA_alpha2_Asymmetry,RRV_MFDFA_alpha2_Fluctuation,RRV_MFDFA_alpha2_Increment,RRV_MFDFA_alpha1_Width,RRV_MFDFA_alpha1_Peak,RRV_MFDFA_alpha1_Mean,RRV_MFDFA_alpha1_Max,RRV_MFDFA_alpha1_Delta,RRV_MFDFA_alpha1_Asymmetry,RRV_MFDFA_alpha1_Fluctuation,RRV_MFDFA_alpha1_Increment
1,1,128,thoracic,14.741157021491627,4.395746036965501,0.0025181593897771262,0.0009503313717262814,0.00041888766718641495,0.0002723504806041312,0.5573660714285714,0.3834821428571429,0.05915178571428571,Inhale,0.6091010816859381,0.3908989183140619,4071.9866071428573,1533.854543208938,2065.4321559871137,2148.1353589992723,0.015964663348528904,0.0007998255729857551,19.96018117916972,,,1518.961079254984,1548.6047782290782,1.0195157725757094,,,0.026595320104917164,inf,0.37668457467869215,0.5072296044304382,3886.71875,1650.55078125,0.4246643216080402,,0.0023310303880503687,0.0010699916227060288,0.0017085881455959375,0.7329754920204921,2.54375,1.74609375,1.4568232662192395,0.0,,23,,,,,,,,,,,,,,,,
1,1,128,abdominal,10.219722516755233,2.080745296988844,0.0010725976341729453,0.00014304576449929025,0.00013624276093254203,7.628705759236323e-05,0.5200892857142857,0.4284598214285714,0.051450892857142855,Inhale,0.6249500199920032,0.3750499800079968,5848.958333333333,1414.3052709419076,1987.3793079510199,2121.71387031542,0.013908874838682589,0.0002180550853548044,63.78606037117187,,,1500.2782654375887,1322.7561850483653,0.8816738971170489,,,0.1335313926245223,-inf,0.2418046411583671,0.3397834613772002,6000.0,1239.3609374999999,0.20656015625,,0.0010420831735874323,0.00018418147848096598,0.0002792477272877625,0.26797067102277056,3.65546875,2.4340277777777777,1.5018188302425106,0.0,,0,,,,,,,,,,,,,,,,
1,2,128,thoracic,19.33770631345708,6.602115428015942,0.002009878110533025,0.0007779415708944646,0.0004563083307950657,0.00028222252814272036,0.526624177631579,0.42023026315789475,0.053145559210526314,Inhale,0.6594202898550725,0.34057971014492755,3182.8125,1499.548914493034,2062.745294175481,2118.2312190481343,0.040301911562123094,0.0019525182361962861,20.64099111342259,,,1497.815659109983,1501.280168802413,1.0023130414422885,,,0.2008867132058909,1.0986122886681098,0.47113957058200384,0.6480888504036857,2644.53125,764.4656249999999,0.28907415066469716,,0.0019057303739302195,0.0008353341489866892,0.0011717452599295142,0.614853641395768,2.0911458333333335,1.130078125,1.8504435994930293,0.0,,124,,,,,,,,,,,,,,,,
1,2,128,abdominal,18.6808305202453,7.081912496350864,0.0007549647931816363,0.00032311987286533814,0.00014548536351582296,9.148610735549025e-05,0.5328947368421053,0.39237253289473684,0.0747327302631579,Inhale,0.6599740167709933,0.34002598322900673,3355.6743421052633,1748.672938246641,2389.970322712435,2458.1548664682136,0.028005806066866975,0.0016007506182572906,17.49542105275362,,,1738.177975286386,1759.1052885320994,1.012039798883233,,,0.2574505017231594,inf,0.5211092495791975,0.7122175989261906,2789.0625,1007.7046875,0.36130588235294114,,0.000722218446251986,0.0003670754625542678,0.0005465027713484488,0.7567001011737811,2.175,1.175575657894737,1.8501573976915002,0.0,,109,,,,,,,,,,,,,,,,
1,3,128,thoracic,14.395487253048682,4.505882135987969,0.002203359087679089,0.0007501938334673012,0.0004060556421941545,0.00021857748701090525,0.5561141304347826,0.38845108695652175,0.05543478260869565,Inhale,0.598508165260528,0.4014918347394721,4266.5625,1399.2515053382385,1961.2550814057622,1981.3355938049683,0.036140594700485064,0.0011099204782238175,32.561427065766104,0.648914263745033,0.019928925794142415,1401.015834185768,1397.4849490221388,0.9974797678388259,,,0.22754573412591483,2.3025850929940455,0.32795757834046463,0.4596803823700607,4414.0625,1749.0046874999998,0.3962346902654867,0.018443428874715687,0.0020548717426881785,0.0008134757900999065,0.001079622357079376,0.5253964686219377,2.524203431372549,1.72453125,1.463704082702212,0.0,,47,,,,,,,,,,,,,,,,
1,3,128,abdominal,12.562554384340087,3.904921730552839,0.0008814849046641957,0.00023286837902543894,0.00015480819322468716,6.857651388992245e-05,0.49711277173913043,0.4629415760869565,0.03994565217391304,Inhale,0.48724342295461115,0.5127565770453888,4854.048295454545,1400.4815197842495,1598.7447738541234,1617.6572993785799,0.008875764129407493,0.00032829419599118674,27.0360068432211,0.438402512086091,0.016215505293675214,1143.8564460265109,1616.8764347958079,1.4135309027740828,,,0.22966598732389087,1.9459101490553135,0.2885182500338318,0.32936317822614763,4988.28125,1088.784375,0.21826844166014095,0.01104163800324033,0.000850315141975542,0.0002765170409900566,0.0003519338392397741,0.4138863603229788,2.332986111111111,2.5113636363636362,0.9289718451483158,0.0,,0,,,,,,,,,,,,,,,,
2,1,128,thoracic,20.682251678514433,13.243984866893863,0.0012336959112950556,0.00046693753660733165,0.0002455751439966621,0.0001730045430281909,0.5531881313131313,0.37886679292929293,0.06794507575757576,Inhale,0.6038719285182428,0.39612807148175727,3128.502155172414,1875.751553952385,2351.970331269956,2395.1141815553738,0.04596750436085311,0.0020826789245440677,22.071335057522678,,,1693.6014794938726,2041.7154093961626,1.2055465433381192,,,0.324686842827246,inf,0.5995685669741886,0.7517879849887261,2648.4375,2154.403125,0.8134619469026548,,0.0011623851313797904,0.0004944095866864618,0.0006146510262162551,0.5287843156481566,1.89296875,1.2817887931034482,1.4768179907524173,0.0,,107,,,,,,,,,,,,,,,,
2,1,128,abdominal,15.111695420046429,6.457757976476818,0.0002532441597041145,0.0001027243226429919,4.1916520895188416e-05,2.222291185701342e-05,0.530145202020202,0.3972537878787879,0.0726010101010101,Inhale,0.5905779102500414,0.4094220897499586,4121.448863636364,2022.5025235648106,1962.7545354535428,2011.1033718405483,0.011272930336270567,0.0003675643022079348,30.669274106747608,,,1422.0648318955825,2481.685824099788,1.7451284698404033,,,0.2822311405764779,1.504077396776274,0.49072609911756904,0.4762292583006355,3644.53125,1789.5445312499999,0.49102186495176847,,0.00022395707510954963,0.00010771488130134315,0.00012957524762057323,0.5785717979983035,2.4150815217391304,1.7478693181818181,1.3817288836280763,0.0,,0,,,,,,,,,,,,,,,,
2,2,128,thoracic,26.888599384996073,7.24494134990961,0.0008816480924204545,0.000562058749801373,0.000264182731424038,8.564694512957181e-05,0.5992476851851852,0.37008101851851855,0.030671296296296297,Inhale,0.6356877323420075,0.3643122676579926,2208.3333333333335,856.7624231793405,1079.817618052621,1096.4219045092061,0.01708901995493455,0.002007528031572623,8.512468910109137,,,775.2873637199289,931.1354376246634,1.2010197524140667,,,0.4500058578901611,1.067840630001356,0.38796788974158813,0.4889740157219415,2031.25,382.23281249999997,0.18817615384615383,,0.0007667675422995801,0.0004985844055375786,0.0005770413288389218,0.7525635828406894,1.4460018382352942,0.8503787878787878,1.700420869906983,0.0,,335,,,,,,,,,,,,,,,,
2,2,128,abdominal,26.940074531981438,6.568414715579748,0.00018764598282527335,9.65680108752222e-05,6.280689205015628e-05,2.855655801110044e-05,0.5716628086419753,0.3662229938271605,0.062114197530864196,Inhale,0.6429086414666804,0.3570913585333196,2236.032196969697,804.9381378660795,1033.5593519880856,1050.0298514861836,0.023759241626848282,0.003923388497367224,6.055796320652885,,,742.4832284341838,862.8843880130031,1.1621601067444072,,,0.5411722701082495,1.3862943611198908,0.3599850391049571,0.46222919034385107,2070.3125,428.5640625,0.2070045283018868,,0.0001707706491083564,8.824313106597753e-05,0.00010790236021365346,0.631855419986065,1.4264705882352942,0.8127367424242424,1.7551447027981015,0.0,,132,,,,,,,,,,,,,,,,
