participant,participant_id,piece,condition,audio_file,audio_duration_s,key,mode,key_strength,is_minor,chroma_entropy_mean,chroma_entropy_sd,key_stability,chroma_flux_mean,tempo_bpm,rms_mean,rms_sd,spectral_centroid_mean,onset_rate_hz,harmonic_ratio
P10,10,1,sight_reading,P10_video1_IMG1210.mp3,139.31827664399094,G,minor,0.8552547896981796,1,2.4851186275482178,0.5706745386123657,0.2557578939078432,0.03754209354519844,135.99917763157896,0.035555802285671234,0.031648002564907074,826.6272029215116,1.2704722184606088,0.8470007423360464
P10,10,2,sight_reading,P10_video2_IMG1211.mp3,129.89097505668934,G,minor,0.79772654037586,1,2.6671388149261475,0.5794578790664673,0.29310791823336224,0.051037658005952835,112.34714673913044,0.04596477374434471,0.03742208331823349,845.4972925586388,1.847703428935343,0.794946557418453
P10,10,3,self_selected,P10_video3_IMG1212.mp3,288.99410430839004,A,major,0.8277096107665718,0,2.9538393020629883,0.29669174551963806,0.35409596293604323,0.034763433039188385,117.45383522727273,0.04683768004179001,0.03254722058773041,660.25261732029,1.3944921159012729,0.8320169455639584
P11,11,1,sight_reading,P11_video1_IMG1213.mp3,74.04698412698413,G,minor,0.9049948089452902,1,2.6292645931243896,0.5754660964012146,0.2840085599716875,0.047118499875068665,86.1328125,0.04865819588303566,0.03864314407110214,862.9787290530425,1.8501766360268899,0.8292963316358252
P11,11,2,sight_reading,P11_video2_IMG1214.mp3,65.68780045351474,G,minor,0.8559196719792568,1,2.8742451667785645,0.47446879744529724,0.3143475812206626,0.05995799973607063,112.34714673913044,0.05757712200284004,0.04535963386297226,852.6961327988556,2.664117214943773,0.802530210015496
P11,11,3,self_selected,P11_video3_IMG1215.mp3,126.05968253968254,F,major,0.9168530933201089,0,3.022918701171875,0.3025374114513397,0.38632483904650233,0.03863534703850746,184.5703125,0.056403595954179764,0.044543225318193436,739.870690579498,1.6658775888468047,0.8157545342474973
P12,12,1,sight_reading,P12_video1_IMG1216.mp3,100.44807256235828,G,minor,0.8592231559059592,1,2.78361177444458,0.46436095237731934,0.2962508613544065,0.031180039048194885,63.02400914634146,0.05423634126782417,0.0420050211250782,597.669799546249,1.3638887885573936,0.8421945207164282
P12,12,2,sight_reading,P12_video2_IMG1217.mp3,58.23419501133787,G,major,0.8460942243461678,0,2.866558313369751,0.4805939793586731,0.3514979901654437,0.053814224898815155,151.99908088235293,0.06439296901226044,0.04513842985033989,707.0493986239717,2.919247015725073,0.8168318030838029
P12,12,3,self_selected,P12_video3_IMG1218.mp3,178.56,G,minor,0.902275999965487,1,2.862123966217041,0.31791380047798157,0.503120315075299,0.03727102652192116,129.19921875,0.07864734530448914,0.04000735655426979,591.5919732863275,2.6713709677419355,0.8587923418000183
P13,13,1,sight_reading,P13_video1_IMG1219.mp3,73.39682539682539,G,minor,0.8482175148583556,1,2.6432621479034424,0.5380617380142212,0.3029363615699122,0.041420258581638336,86.1328125,0.058626439422369,0.042320940643548965,719.104462892513,1.7984429065743945,0.8153453862385932
