participant,participant_id,piece,video,condition,audio_file,trim_start_s,trim_stop_s,audio_duration_s,key,mode,key_strength,is_minor,chroma_entropy_mean,chroma_entropy_sd,key_stability,chroma_flux_mean,tempo_bpm,rms_mean,rms_sd,spectral_centroid_mean,onset_rate_hz,harmonic_ratio
P10,10,1,1,sight_reading,P10_video1_IMG1210.mp3,1.63,138.51,136.88,G,minor,0.8554472509183217,1,2.4662537574768066,0.5577347278594971,0.25949400521579574,0.03781500086188316,48.75442216981132,0.03615935891866684,0.0316007100045681,797.9693636883635,1.2419637638807715,0.8486179554304094
P10,10,2,2,sight_reading,P10_video2_IMG1211.mp3,2.81,129.45,126.64,G,minor,0.7940873218471995,1,2.6426873207092285,0.5710528492927551,0.29855752231001625,0.05184682831168175,112.34714673913044,0.047110579907894135,0.03720051795244217,807.7007632683082,1.8477574226152875,0.7951686632142506
P10,10,3,3,self_selected,P10_video3_IMG1212.mp3,1.76,288.97,287.20997732426304,A,major,0.8275907137421098,0,2.9502577781677246,0.2940402030944824,0.3554605509399865,0.034801121801137924,112.34714673913044,0.04711933806538582,0.03244726359844208,646.8717962286576,1.4484176485635514,0.8317329431899042
P11,11,1,1,sight_reading,P11_video1_IMG1213.mp3,1.49,69.68,68.19002267573696,G,minor,0.8867075851589264,1,2.567885637283325,0.5444220900535583,0.28111320758896574,0.049391817301511765,86.1328125,0.05267268046736717,0.03764460235834122,768.3394540908847,1.9211021621585673,0.8269128464259751
P11,11,2,2,sight_reading,P11_video2_IMG1214.mp3,1.81,62.83,61.02,G,minor,0.8463046314708457,1,2.82441782951355,0.4547699987888336,0.3210636057171336,0.06294315308332443,112.34714673913044,0.06189540773630142,0.04418439045548439,753.6433406212228,2.7695837430350703,0.8026608933840961
P11,11,3,3,self_selected,P11_video3_IMG1215.mp3,2.14,124.34,122.2,F,major,0.9205690058261619,0,3.0069141387939453,0.2933203876018524,0.39347536739010897,0.03917842358350754,184.5703125,0.058127038180828094,0.04415283724665642,689.6822224638199,1.7430441898527005,0.8154276916784053
P12,12,1,1,sight_reading,P12_video1_IMG1216.mp3,2.69,96.8,94.11002267573696,G,minor,0.8771548085017141,1,2.7379236221313477,0.44333386421203613,0.2975547057692867,0.03231597691774368,63.02400914634146,0.057646531611680984,0.041217830032110214,596.0336962658162,1.434491206799009,0.8425856282472599
P12,12,2,2,sight_reading,P12_video2_IMG1217.mp3,0.7,55.54,54.840045351473925,G,major,0.8175764434346963,0,2.828638792037964,0.4662519693374634,0.3572253642256479,0.05616181716322899,151.99908088235293,0.06826324015855789,0.0436578206717968,697.6258944301001,3.0999244969703685,0.8153682267051648
P12,12,3,3,self_selected,P12_video3_IMG1218.mp3,1.02,175.52,174.5,G,minor,0.9026458089967239,1,2.8477976322174072,0.306953102350235,0.5098268084774921,0.03778669238090515,129.19921875,0.08040298521518707,0.03874750807881355,587.5353944746113,2.7220630372492836,0.8587511512873923
P13,13,1,1,sight_reading,P13_video1_IMG1219.mp3,1.81,70.73,68.92,G,minor,0.8616358735797741,1,2.5896425247192383,0.5106656551361084,0.30998341957331926,0.04311438649892807,86.1328125,0.06220177933573723,0.041184987872838974,692.7675539067493,1.8862449216482877,0.8155717918762881
P13,13,2,2,sight_reading,P13_video2_IMG1220.mp3,0.12,66.36,66.24,G,minor,0.7670394364002269,1,2.9117650985717773,0.39027661085128784,0.349055840517536,0.05397305637598038,117.45383522727273,0.07112599909305573,0.04728182032704353,702.6605009167655,2.989130434782609,0.8337405044789714
P13,13,3,3,self_selected,P13_video3_IMG1221.mp3,3.76,56.87,53.10997732426304,G#,minor,0.6947451582072075,1,3.1309194564819336,0.21738198399543762,0.44644432809901885,0.051004134118556976,143.5546875,0.07771838456392288,0.0430537685751915,704.4653992648523,4.669555750058707,0.8412996956646133
P14,14,1,1,sight_reading,P14_video1_IMG1222.mp3,1.42,80.36,78.94,G,minor,0.8684167317059261,1,2.7808854579925537,0.4810298681259155,0.3306682157387804,0.035486530512571335,80.74951171875,0.05223315581679344,0.04103684052824974,624.4785524051965,1.7228274638966303,0.8149750804821365
P14,14,2,2,sight_reading,P14_video2_IMG1223.mp3,1.02,75.84,74.82,G,major,0.7680002181322755,0,2.9242241382598877,0.42736151814460754,0.3474441123084857,0.05326852574944496,95.703125,0.06514852494001389,0.050618357956409454,686.4020617771162,2.5527933707564823,0.8218231136838063
P14,14,3,3,self_selected,P14_video3_IMG1224.mp3,4.02,192.21,188.19002267573697,D,major,0.9374235643068448,0,3.0824389457702637,0.2473025918006897,0.5977120052592041,0.03090043179690838,172.265625,0.060675911605358124,0.040747154504060745,510.4398608690469,3.4964659159097646,0.8905216617436652
